volcano_number,volcano_name,primary_volcano_type,latitude,longitude,population_within_30_km,eruption_number,vei,start_year,start_month,start_day,end_year,end_month,end_day,major_rock_1,minor_rock_1,year,duration
282050,Kuchinoerabujima,Stratovolcano(es),30.443,130.217,5348,22345,0.0,2020.0,1.0,11.0,2020.0,4.0,17.0,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,2000s,98.0
282060,Kikai,Caldera,30.793,130.305,152,22339,0.0,2019.0,11.0,2.0,2020.0,4.0,16.0,Rhyolite, ,2000s,379.0
283110,Asamayama,Complex,36.406,138.523,457576,22326,0.0,2019.0,8.0,7.0,2019.0,8.0,25.0,Andesite / Basaltic Andesite, ,2000s,18.0
282110,Asosan,Caldera,32.884,131.104,234591,22317,0.0,2019.0,4.0,16.0,2020.0,4.0,17.0,Andesite / Basaltic Andesite, ,2000s,366.0
282050,Kuchinoerabujima,Stratovolcano(es),30.443,130.217,5348,22296,3.0,2018.0,10.0,21.0,2019.0,2.0,3.0,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,2000s,347.0
282090,Kirishimayama,Shield,31.934,130.862,407050,22257,3.0,2018.0,3.0,1.0,2018.0,6.0,27.0,Andesite / Basaltic Andesite, ,2000s,118.0
283120,Kusatsu-Shiranesan,Stratovolcano(es),36.618,138.528,434049,22258,1.0,2018.0,1.0,23.0,2018.0,1.0,23.0,Andesite / Basaltic Andesite, ,2000s,0.0
282090,Kirishimayama,Shield,31.934,130.862,407050,22242,2.0,2017.0,10.0,11.0,2017.0,10.0,17.0,Andesite / Basaltic Andesite, ,2000s,6.0
282080,Aira,Caldera,31.593,130.657,905254,22203,1.0,2017.0,3.0,25.0,2020.0,4.0,17.0,Andesite / Basaltic Andesite, ,2000s,1118.0
282110,Asosan,Caldera,32.884,131.104,234591,22174,3.0,2016.0,10.0,7.0,2016.0,11.0,12.0,Andesite / Basaltic Andesite, ,2000s,36.0
