volcano_number,volcano_name,eruption_number,eruption_category,area_of_activity,vei,start_year,start_month,start_day,evidence_method_dating,end_year,end_month,end_day,latitude,longitude
282050,Kuchinoerabujima,22345,Confirmed Eruption,,,2020.0,1.0,11.0,Historical Observations,2020.0,4.0,17.0,30.443,130.217
282060,Kikai,22339,Confirmed Eruption,,,2019.0,11.0,2.0,Historical Observations,2020.0,4.0,16.0,30.793,130.305
283110,Asamayama,22326,Confirmed Eruption,,,2019.0,8.0,7.0,Historical Observations,2019.0,8.0,25.0,36.406,138.523
282110,Asosan,22317,Confirmed Eruption,,,2019.0,4.0,16.0,Historical Observations,2020.0,4.0,17.0,32.884,131.104
282050,Kuchinoerabujima,22296,Confirmed Eruption,,3.0,2018.0,10.0,21.0,Historical Observations,2019.0,2.0,3.0,30.443,130.217
282090,Kirishimayama,22257,Confirmed Eruption,Shinmoedake,3.0,2018.0,3.0,1.0,Historical Observations,2018.0,6.0,27.0,31.934,130.862
283120,Kusatsu-Shiranesan,22258,Confirmed Eruption,Motoshiranesan,1.0,2018.0,1.0,23.0,Historical Observations,2018.0,1.0,23.0,36.618,138.528
282090,Kirishimayama,22242,Confirmed Eruption,Shinmoedake,2.0,2017.0,10.0,11.0,Historical Observations,2017.0,10.0,17.0,31.934,130.862
282080,Aira,22203,Confirmed Eruption,Minamidake summit crater,1.0,2017.0,3.0,25.0,Historical Observations,2020.0,4.0,17.0,31.593,130.657
282110,Asosan,22174,Confirmed Eruption,,3.0,2016.0,10.0,7.0,Historical Observations,2016.0,11.0,12.0,32.884,131.104
283020,Hakoneyama,21080,Confirmed Eruption,,1.0,2015.0,6.0,29.0,Historical Observations,2015.0,7.0,1.0,35.233,139.021
283110,Asamayama,21081,Confirmed Eruption,,1.0,2015.0,6.0,16.0,Historical Observations,2015.0,6.0,16.0,36.406,138.523
282050,Kuchinoerabujima,21073,Confirmed Eruption,,3.0,2015.0,5.0,29.0,Historical Observations,2015.0,6.0,19.0,30.443,130.217
283040,Ontakesan,20964,Confirmed Eruption,Summit crater,3.0,2014.0,9.0,27.0,Historical Observations,2014.0,10.0,14.0,35.893,137.48
282110,Asosan,20960,Confirmed Eruption,Naka-dake,2.0,2014.0,8.0,30.0,Historical Observations,2016.0,5.0,1.0,32.884,131.104
282050,Kuchinoerabujima,20952,Confirmed Eruption,Shindake,1.0,2014.0,8.0,3.0,Historical Observations,2014.0,8.0,3.0,30.443,130.217
282110,Asosan,20935,Confirmed Eruption,Naka-dake,1.0,2014.0,1.0,13.0,Historical Observations,2014.0,2.0,19.0,32.884,131.104
284090,Izu-Torishima,20828,Uncertain Eruption,,2.0,2013.0,7.0,6.0,Historical Observations,2013.0,7.0,6.0,30.484,140.303
282060,Kikai,20781,Confirmed Eruption,,1.0,2013.0,6.0,4.0,Historical Observations,2013.0,6.0,4.0,30.793,130.305
284120,Ioto,20772,Confirmed Eruption,Asodai,1.0,2012.0,2.0,10.0,Historical Observations,2012.0,5.0,2.0,24.751,141.289
282110,Asosan,20753,Confirmed Eruption,Naka-dake,1.0,2011.0,5.0,15.0,Historical Observations,2011.0,6.0,9.0,32.884,131.104
282090,Kirishimayama,20782,Confirmed Eruption,Shinmoe-dake,2.0,2011.0,1.0,19.0,Historical Observations,2011.0,9.0,7.0,31.934,130.862
284120,Ioto,18423,Uncertain Eruption,,1.0,2010.0,6.0,19.0,Historical Observations,2010.0,6.0,19.0,24.751,141.289
284040,Miyakejima,18282,Confirmed Eruption,,1.0,2010.0,4.0,11.0,Historical Observations,2010.0,7.0,21.0,34.094,139.526
282090,Kirishimayama,17165,Confirmed Eruption,Shinmoe-dake,1.0,2010.0,3.0,30.0,Historical Observations,2010.0,7.0,10.0,31.934,130.862
282090,Kirishimayama,17164,Uncertain Eruption,Shinmoe-dake,1.0,2009.0,11.0,15.0,Historical Observations,2009.0,11.0,15.0,31.934,130.862
284040,Miyakejima,18281,Confirmed Eruption,,1.0,2009.0,4.0,1.0,Historical Observations,2009.0,4.0,1.0,34.094,139.526
283110,Asamayama,17812,Confirmed Eruption,,2.0,2009.0,1.0,21.0,Historical Observations,2009.0,5.0,2.0,36.406,138.523
285070,Akan,18707,Confirmed Eruption,Me-Akan (Ponmachineshiri),1.0,2008.0,11.0,18.0,Historical Observations,2008.0,11.0,28.0,43.384,144.013
282090,Kirishimayama,17163,Confirmed Eruption,Shinmoe-dake crater and W flank,1.0,2008.0,8.0,22.0,Historical Observations,2008.0,8.0,22.0,31.934,130.862
283110,Asamayama,17811,Confirmed Eruption,,1.0,2008.0,8.0,10.0,Historical Observations,2008.0,8.0,14.0,36.406,138.523
284040,Miyakejima,18280,Confirmed Eruption,,1.0,2008.0,5.0,8.0,Historical Observations,2008.0,5.0,8.0,34.094,139.526
282110,Asosan,17351,Confirmed Eruption,Naka-dake,1.0,2008.0,2.0,17.0,Historical Observations,2008.0,2.0,17.0,32.884,131.104
284040,Miyakejima,18279,Confirmed Eruption,,1.0,2008.0,1.0,7.0,Historical Observations,2008.0,1.0,7.0,34.094,139.526
283040,Ontakesan,20962,Confirmed Eruption,1979 Crater #7,0.0,2007.0,3.0,24.0,Historical Observations,,,,35.893,137.48
284040,Miyakejima,18278,Confirmed Eruption,,1.0,2006.0,8.0,23.0,Historical Observations,2006.0,8.0,23.0,34.094,139.526
285070,Akan,18704,Confirmed Eruption,NE flank of Me-Akan,1.0,2006.0,3.0,21.0,Historical Observations,2006.0,3.0,21.0,43.384,144.013
284040,Miyakejima,18277,Confirmed Eruption,,1.0,2006.0,2.0,17.0,Historical Observations,2006.0,2.0,17.0,34.094,139.526
282110,Asosan,17350,Confirmed Eruption,Naka-dake,1.0,2005.0,4.0,14.0,Historical Observations,2005.0,8.0,16.0,32.884,131.104
284040,Miyakejima,18276,Confirmed Eruption,,1.0,2005.0,4.0,12.0,Historical Observations,2005.0,5.0,18.0,34.094,139.526
284080,Sumisujima,18356,Uncertain Eruption,,0.0,2005.0,3.0,8.0,,2005.0,3.0,8.0,31.44,140.051
284040,Miyakejima,18275,Confirmed Eruption,,1.0,2004.0,11.0,30.0,Historical Observations,2004.0,12.0,9.0,34.094,139.526
282030,Suwanosejima,16947,Confirmed Eruption,O-take,2.0,2004.0,10.0,23.0,Historical Observations,2020.0,4.0,17.0,29.638,129.714
283110,Asamayama,17810,Confirmed Eruption,,2.0,2004.0,9.0,1.0,Historical Observations,2004.0,12.0,9.0,36.406,138.523
284120,Ioto,18422,Uncertain Eruption,Asodai area,1.0,2004.0,6.0,6.0,,2004.0,6.0,8.0,24.751,141.289
282060,Kikai,17003,Confirmed Eruption,Iwo-dake,2.0,2004.0,3.0,5.0,Historical Observations,2004.0,10.0,16.0,30.793,130.305
285050,Tokachidake,18661,Confirmed Eruption,1962-II Crater,1.0,2004.0,2.0,25.0,Historical Observations,2004.0,4.0,19.0,43.418,142.686
282110,Asosan,17349,Confirmed Eruption,Naka-dake,1.0,2004.0,1.0,14.0,Historical Observations,2004.0,1.0,14.0,32.884,131.104
284080,Sumisujima,18355,Uncertain Eruption,,0.0,2003.0,11.0,6.0,,2003.0,11.0,6.0,31.44,140.051
284110,Kita-Ioto,18395,Uncertain Eruption,Funka-Asane,0.0,2003.0,11.0,4.0,,2003.0,11.0,4.0,25.424,141.284
